depth;datetime;value
75.974;35740.3058449074;8.937
77.026;35740.3058449074;9.0034
78.108;35740.3058796296;9.0437
79.051;35740.3059375;9.0942
80.012;35740.3059375;9.1068
81.057;35740.3059837963;9.164
81.989;35740.3060069444;9.2054
82.952;35740.3060185185;9.2451
84.193;35740.3060648148;9.305
85.025;35740.306087963;9.3498
85.752;35740.306099537;9.3822
87.024;35740.3061458333;9.4116
87.99;35740.3061689815;9.4345
89.171;35740.3062037037;9.475
90.167;35740.3062268519;9.4835
91.013;35740.3062615741;9.4872
92.017;35740.3062847222;9.4933
92.87;35740.3063078704;9.5044
93.979;35740.3063425926;9.5193
95.02;35740.3063657407;9.5385
96.002;35740.3063888889;9.5647
97.116;35740.3064236111;9.5711
98.031;35740.3064467593;9.577
98.999;35740.3064699074;9.6095
100.008;35740.3065046296;9.6309
100.701;35740.3065046296;9.6335
102.115;35740.3065856481;9.6636
102.983;35740.3065856481;9.6695
103.875;35740.3065856481;9.6844
105.127;35740.3066666667;9.6944
105.992;35740.3066666667;9.7031
106.943;35740.3066898148;9.7164
108.132;35740.3067476852;9.7316
109.037;35740.3067476852;9.7465
109.959;35740.3067708333;9.7714
111.352;35740.3068287037;9.7955
111.982;35740.3068518518;9.799
113.014;35740.3068518518;9.8019
113.895;35740.3068865741;9.8078
114.996;35740.3069328704;9.8195
116.003;35740.3069444444;9.8435
116.983;35740.3069675926;9.8549
117.878;35740.3069907407;9.8618
118.946;35740.3070486111;9.862
120.026;35740.3070486111;9.8666
120.694;35740.3070717593;9.875
121.969;35740.3071296296;9.8832
123.028;35740.3071296296;9.89
124.167;35740.3071875;9.9148
124.899;35740.3071875;9.9293
126.05;35740.3072337963;9.9418
126.896;35740.3072569444;9.9572
128.193;35740.3072916667;9.978
129.005;35740.3073148148;9.9867
130.058;35740.307337963;10.0005
130.804;35740.307349537;10.0142
131.972;35740.3073958333;10.0194
132.964;35740.3074189815;10.0228
134.319;35740.3074537037;10.0367
134.852;35740.3074768518;10.0438
136.059;35740.3075115741;10.048
136.845;35740.3075115741;10.0521
137.956;35740.3075578704;10.0598
