longitude;latitude
34.81;64.51
34.78;64.51
34.78;64.52
34.79;64.52
34.8;64.52
34.78;64.52
34.78;64.53
34.8;64.54
34.82;64.54
34.85;64.56
34.88;64.57
34.89;64.58
34.92;64.58
34.93;64.59
34.96;64.6
34.96;64.61
34.97;64.61
34.98;64.61
34.99;64.62
34.98;64.62
34.97;64.61
34.97;64.62
34.97;64.63
34.96;64.63
34.94;64.63
34.93;64.63
34.93;64.63
34.92;64.64
34.93;64.64
34.93;64.64
34.91;64.64
34.92;64.65
34.9;64.66
34.91;64.66
34.9;64.66
34.9;64.67
34.88;64.67
34.87;64.67
34.87;64.67
34.84;64.68
34.84;64.68
34.84;64.68
34.82;64.7
34.83;64.7
34.89;64.72
34.9;64.71
34.9;64.72
34.92;64.72
34.94;64.72
34.95;64.72
34.95;64.72
34.97;64.73
34.97;64.73
34.99;64.73
34.99;64.73
34.98;64.73
34.98;64.74
35.01;64.74
35.02;64.74
35.01;64.75
35.01;64.75
35;64.75
34.99;64.75
34.98;64.75
34.97;64.76
34.95;64.75
34.93;64.76
34.91;64.76
34.9;64.75
34.89;64.75
34.88;64.75
34.87;64.75
34.86;64.75
34.85;64.75
34.83;64.72
34.82;64.72
34.82;64.73
34.8;64.73
34.78;64.73
34.79;64.74
34.79;64.74
34.78;64.74
34.76;64.74
34.77;64.75
34.8;64.75
34.8;64.75
34.81;64.75
34.82;64.76
34.83;64.76
34.85;64.76
34.87;64.77
34.88;64.76
34.89;64.77
34.88;64.77
34.87;64.78
34.88;64.78
34.89;64.78
34.9;64.79
34.93;64.8
34.94;64.82
34.96;64.84
34.95;64.84
34.94;64.83
34.92;64.83
34.92;64.86
34.89;64.86
34.88;64.87
34.89;64.88
34.9;64.88
34.89;64.89
34.88;64.9
34.87;64.89
34.85;64.9
34.85;64.9
34.84;64.9
34.84;64.9
34.84;64.91
34.82;64.9
34.82;64.91
34.81;64.91
34.82;64.92
34.81;64.93
34.8;64.93
34.78;64.94
34.77;64.95
34.75;64.94
34.73;64.94
34.72;64.95
34.69;64.95
34.67;64.95
34.64;64.95
34.62;64.95
34.62;64.95
34.67;64.96
34.69;64.96
34.71;64.96
34.71;64.97
34.73;64.97
34.73;64.97
34.75;64.97
34.75;64.98
34.79;64.98
34.8;65
34.82;65.01
34.81;65.01
34.83;65.02
34.83;65.02
34.82;65.02
34.79;65
34.78;65
34.79;65.01
34.79;65.01
34.8;65.02
34.79;65.02
34.77;65
34.77;65.01
34.78;65.02
34.79;65.03
34.78;65.03
34.78;65.04
34.76;65.04
34.75;65.04
34.77;65.04
34.78;65.04
34.77;65.05
34.77;65.05
34.79;65.06
34.79;65.07
34.79;65.08
34.78;65.08
34.78;65.08
34.76;65.08
34.76;65.08
34.75;65.08
34.76;65.08
34.74;65.08
34.71;65.08
34.71;65.08
34.69;65.08
34.68;65.08
34.68;65.09
34.65;65.1
34.67;65.1
34.66;65.11
34.68;65.12
34.67;65.12
34.65;65.12
34.66;65.11
34.65;65.11
34.66;65.13
34.66;65.13
34.66;65.13
34.65;65.13
34.65;65.13
34.64;65.13
34.64;65.14
34.65;65.14
34.65;65.15
34.65;65.16
34.67;65.15
34.68;65.16
34.69;65.15
34.68;65.15
34.69;65.15
34.69;65.16
34.68;65.16
34.69;65.16
34.68;65.16
34.67;65.17
34.67;65.18
34.64;65.19
34.61;65.19
34.61;65.19
34.6;65.19
34.6;65.2
34.62;65.2
34.66;65.2
34.65;65.2
34.64;65.2
34.61;65.2
34.61;65.21
34.6;65.21
34.61;65.21
34.6;65.21
34.6;65.22
34.61;65.22
34.6;65.22
34.61;65.22
34.59;65.23
34.59;65.22
34.57;65.23
34.52;65.22
34.54;65.22
34.53;65.22
34.54;65.24
34.53;65.24
34.54;65.25
34.53;65.25
34.52;65.25
34.52;65.24
34.51;65.24
34.51;65.24
34.5;65.24
34.51;65.25
34.51;65.25
34.47;65.25
34.47;65.26
34.46;65.27
34.46;65.27
34.47;65.27
34.46;65.28
34.48;65.29
34.47;65.3
34.47;65.31
34.47;65.31
34.48;65.31
34.47;65.31
34.46;65.31
34.44;65.31
34.45;65.31
34.44;65.31
34.45;65.32
34.46;65.32
34.45;65.32
34.47;65.32
34.47;65.31
34.49;65.31
34.49;65.32
34.47;65.32
34.5;65.32
34.49;65.33
34.47;65.33
34.47;65.34
34.46;65.34
34.45;65.34
34.47;65.34
34.47;65.34
34.46;65.35
34.42;65.35
34.4;65.35
34.41;65.35
34.38;65.35
34.39;65.36
34.36;65.36
34.26;65.36
34.28;65.37
34.27;65.37
34.24;65.38
34.26;65.38
34.29;65.37
34.3;65.38
34.29;65.38
34.29;65.38
34.31;65.38
34.32;65.38
34.35;65.38
34.36;65.38
34.41;65.38
34.41;65.37
34.4;65.37
34.41;65.37
34.43;65.37
34.45;65.37
34.44;65.38
34.43;65.38
34.38;65.39
34.4;65.39
34.38;65.39
34.38;65.4
34.37;65.4
34.35;65.41
34.36;65.41
34.36;65.41
34.38;65.41
34.38;65.4
34.39;65.4
34.39;65.41
34.39;65.4
34.41;65.4
34.41;65.4
34.4;65.4
34.41;65.4
34.42;65.4
34.42;65.4
34.42;65.4
34.43;65.41
34.44;65.41
34.42;65.41
34.44;65.41
34.46;65.4
34.47;65.4
34.46;65.4
34.47;65.4
34.48;65.4
34.47;65.41
34.49;65.4
34.5;65.41
34.51;65.41
34.53;65.41
34.48;65.42
34.49;65.42
34.47;65.42
34.48;65.43
34.46;65.43
34.49;65.43
34.48;65.43
34.48;65.44
34.5;65.44
34.55;65.43
34.55;65.43
34.54;65.44
34.57;65.44
34.58;65.44
34.6;65.42
34.61;65.43
34.61;65.43
34.62;65.43
34.63;65.43
34.64;65.43
34.66;65.43
34.67;65.44
34.69;65.44
34.68;65.44
34.67;65.44
34.68;65.45
34.66;65.45
34.68;65.45
34.67;65.45
34.66;65.46
34.67;65.46
34.66;65.46
34.68;65.47
34.67;65.46
34.66;65.47
34.65;65.47
34.65;65.47
34.64;65.47
34.63;65.48
34.65;65.48
34.65;65.49
34.63;65.49
34.65;65.49
34.65;65.49
34.66;65.5
34.67;65.51
34.69;65.51
34.67;65.51
34.68;65.51
34.71;65.51
34.72;65.51
34.72;65.52
34.74;65.53
34.74;65.53
34.73;65.53
34.75;65.54
34.74;65.55
34.75;65.55
34.73;65.56
34.72;65.55
34.73;65.56
34.71;65.56
34.73;65.56
34.72;65.57
34.73;65.57
34.73;65.57
34.74;65.58
34.73;65.58
34.75;65.59
34.74;65.58
34.76;65.58
34.76;65.58
34.77;65.58
34.78;65.57
34.8;65.58
34.79;65.59
34.78;65.58
34.78;65.59
34.76;65.6
34.75;65.6
34.75;65.61
34.74;65.62
34.74;65.62
34.74;65.62
34.75;65.63
34.72;65.63
34.73;65.64
34.73;65.64
34.72;65.65
34.74;65.65
34.73;65.65
34.74;65.66
34.71;65.66
34.72;65.65
34.71;65.65
34.69;65.65
34.71;65.66
34.7;65.66
34.73;65.67
34.72;65.67
34.7;65.67
34.73;65.68
34.71;65.68
34.73;65.68
34.73;65.68
34.74;65.68
34.74;65.68
34.76;65.68
34.76;65.68
34.75;65.68
34.77;65.69
34.75;65.7
34.74;65.69
34.73;65.7
34.75;65.7
34.73;65.7
34.73;65.71
34.72;65.7
34.72;65.71
34.7;65.7
34.7;65.7
34.69;65.7
34.69;65.7
34.68;65.7
34.7;65.71
34.68;65.71
34.69;65.72
34.7;65.72
34.69;65.72
34.72;65.73
34.71;65.73
34.71;65.73
34.69;65.73
34.7;65.73
34.69;65.73
34.68;65.74
34.69;65.74
34.68;65.74
34.69;65.75
34.68;65.75
34.68;65.75
34.67;65.75
34.67;65.76
34.66;65.76
34.69;65.76
34.67;65.76
34.68;65.77
34.68;65.77
34.67;65.76
34.67;65.77
34.67;65.77
34.66;65.77
34.65;65.77
34.64;65.77
34.66;65.78
34.67;65.77
34.68;65.78
34.69;65.78
34.69;65.78
34.69;65.78
34.63;65.78
34.67;65.78
34.66;65.79
34.67;65.8
34.67;65.8
34.69;65.8
34.69;65.8
34.68;65.79
34.68;65.79
34.68;65.79
34.7;65.79
34.7;65.78
34.72;65.78
34.72;65.78
34.73;65.77
34.7;65.77
34.73;65.77
34.73;65.77
34.74;65.77
34.73;65.77
34.75;65.76
34.75;65.76
34.77;65.76
34.79;65.75
34.78;65.75
34.78;65.74
34.79;65.74
34.81;65.74
34.81;65.73
34.8;65.73
34.81;65.73
34.82;65.72
34.82;65.72
34.82;65.72
34.86;65.71
34.86;65.71
34.87;65.71
34.87;65.7
34.88;65.7
34.87;65.7
34.89;65.7
34.89;65.69
34.91;65.68
34.93;65.68
34.93;65.67
34.95;65.68
34.96;65.69
34.96;65.7
34.95;65.7
34.98;65.71
34.96;65.71
34.96;65.71
34.95;65.71
34.95;65.71
34.95;65.71
34.98;65.72
34.97;65.72
34.96;65.72
34.96;65.72
34.94;65.72
34.95;65.72
34.93;65.72
34.94;65.73
34.95;65.72
34.95;65.73
34.92;65.72
34.91;65.73
34.91;65.73
34.91;65.74
34.9;65.73
34.89;65.74
34.88;65.74
34.9;65.75
34.89;65.75
34.89;65.75
34.87;65.75
34.86;65.75
34.86;65.75
34.86;65.75
34.84;65.75
34.84;65.76
34.85;65.76
34.87;65.76
34.87;65.76
34.85;65.76
34.86;65.77
34.88;65.77
34.86;65.78
34.88;65.77
34.9;65.77
34.91;65.77
34.91;65.78
34.9;65.78
34.91;65.79
34.88;65.79
34.89;65.79
34.89;65.79
34.89;65.8
34.89;65.79
34.91;65.79
34.9;65.8
34.9;65.8
34.89;65.81
34.89;65.81
34.89;65.81
34.91;65.81
34.91;65.81
34.9;65.82
34.91;65.82
34.88;65.82
34.89;65.82
34.89;65.83
34.88;65.83
34.88;65.83
34.88;65.82
34.87;65.82
34.9;65.82
34.88;65.81
34.88;65.81
34.86;65.81
34.86;65.79
34.85;65.79
34.85;65.79
34.84;65.79
34.78;65.8
34.73;65.8
34.71;65.8
34.71;65.8
34.7;65.8
34.73;65.81
34.74;65.81
34.76;65.81
34.76;65.8
34.79;65.8
34.83;65.8
34.85;65.8
34.85;65.8
34.84;65.8
34.84;65.81
34.82;65.8
34.83;65.81
34.8;65.81
34.78;65.81
34.82;65.82
34.8;65.82
34.82;65.82
34.83;65.83
34.82;65.83
34.82;65.83
34.8;65.83
34.83;65.83
34.83;65.84
34.82;65.84
34.83;65.84
34.83;65.84
34.84;65.85
34.82;65.84
34.82;65.85
34.81;65.85
34.82;65.85
34.83;65.85
34.86;65.86
34.85;65.86
34.86;65.86
34.85;65.86
34.85;65.87
34.84;65.87
34.85;65.87
34.83;65.87
34.84;65.88
34.83;65.88
34.83;65.88
34.82;65.89
34.81;65.88
34.8;65.89
34.8;65.88
34.79;65.88
34.76;65.89
34.76;65.9
34.77;65.9
34.76;65.9
34.72;65.89
